_ID,Journal_name,ISSN,eISSN,Category,Total_Citations,2020_JIF,JIF_Quartile,2020 _JCI,Percentage_of_OA_Gold
182,International Journal of Medical Sciences,1449-1907,1449-1907,"MEDICINE, GENERAL & INTERNAL - SCIE",331,0.92,5.3,6.4,305
183,Biomedical Materials,1748-6041,1748-605X,"ENGINEERING, BIOMEDICAL - SCIE",136,0.96,5.8,7.3,131
184,Diagnostics,N/A,2075-4418,"MEDICINE, GENERAL & INTERNAL - SCIE",1069,0.78,1.6,6.3,831
185,Current Opinion in Critical Care,1070-5295,1531-7072,CRITICAL CARE MEDICINE - SCIE,87,0.00,6.9,4.6,0
186,JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,1099-3460,1468-2869,"MEDICINE, GENERAL & INTERNAL - SCIE",97,0.95,9.3,7.1,92
187,VACCINE,0264-410X,1873-2518,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",1041,0.93,7.5,6.9,965
188,Pediatric Critical Care Medicine,1529-7535,1947-3893,CRITICAL CARE MEDICINE - SCIE,245,0.94,6,6.8,231
189,WOUND REPAIR AND REGENERATION,1067-1927,1524-475X,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",112,0.89,10.3,7.9,100
190,JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,0885-3924,1873-6513,"MEDICINE, GENERAL & INTERNAL - SCIE",282,0.87,7.8,7.3,246
191,PHYSICS IN MEDICINE AND BIOLOGY,0031-9155,1361-6560,"ENGINEERING, BIOMEDICAL - SCIE",525,0.97,8.9,7,508
192,MELANOMA RESEARCH,0960-8931,1473-5636,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",84,0.94,6.3,7,79
193,CRITICAL CARE CLINICS,0749-0704,1557-8232,CRITICAL CARE MEDICINE - SCIE,55,0.53,7.5,8.2,29
194,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,0920-5063,1568-5624,"ENGINEERING, BIOMEDICAL - SCIE",178,0.94,8.7,6.7,167
195,JOURNAL OF INTENSIVE CARE MEDICINE,0885-0666,1525-1489,CRITICAL CARE MEDICINE - SCIE,322,0.81,4.1,8.1,260
196,Digital Health,2055-2076,2055-2076,MEDICAL INFORMATICS - SCIE,69,0.83,2.4,6.1,57
197,SHOCK,1073-2322,1540-0514,CRITICAL CARE MEDICINE - SCIE,184,0.88,7,7.4,161
198,Journal of Translational Internal Medicine,2450-131X,2224-4018,"MEDICINE, GENERAL & INTERNAL - SCIE",33,0.64,3.3,6.6,21
199,DISEASE MARKERS,0278-0240,1875-8630,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",240,0.89,4.7,6.3,213
200,JOURNAL OF CRITICAL CARE,0883-9441,1557-8615,CRITICAL CARE MEDICINE - SCIE,212,0.89,5.1,6.7,188
201,Regenerative Therapy,2352-3204,2352-3204,"ENGINEERING, BIOMEDICAL - SCIE",77,0.87,2.1,8.1,67
202,Biomed Research International,2314-6133,2314-6141,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",2440,0.90,5.2,6.5,2188
203,Internal and Emergency Medicine,1828-0447,1970-9366,"MEDICINE, GENERAL & INTERNAL - SCIE",228,0.81,3.8,5.5,185
204,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,1552-4973,1552-4981,"ENGINEERING, BIOMEDICAL - SCIE",395,0.93,8.2,8.4,367
205,Bosnian Journal of Basic Medical Sciences,1512-8601,1840-4812,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",64,0.77,4.6,7.8,49
206,Military Medical Research,2095-7467,2054-9369,"MEDICINE, GENERAL & INTERNAL - SCIE",53,0.79,n/a,6.2,42
207,LARYNGOSCOPE,0023-852X,1531-4995,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",1206,0.92,9.6,8.1,1114
208,Archives of Medical Science,1734-1922,1896-9151,"MEDICINE, GENERAL & INTERNAL - SCIE",154,0.92,4.4,8,142
209,IEEE Journal of Translational Engineering in Health and Medicine-JTEHM,2168-2372,2168-2372,"ENGINEERING, BIOMEDICAL - SCIE",58,0.98,2.9,7.2,57
210,Journal of Trauma and Acute Care Surgery,2163-0755,2163-0763,CRITICAL CARE MEDICINE - SCIE,334,0.92,5.4,6.9,306
211,AMERICAN FAMILY PHYSICIAN,0002-838X,1532-0650,"MEDICINE, GENERAL & INTERNAL - SCIE",86,0.95,10.4,5.9,82
212,Advances in Medical Sciences,1896-1126,1898-4002,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",57,0.77,4.7,8.3,44
213,JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,0929-6646,1876-0821,"MEDICINE, GENERAL & INTERNAL - SCIE",217,0.89,5.4,7.4,193
214,QUALITATIVE HEALTH RESEARCH,1049-7323,1552-7557,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",203,0.95,12,8.3,192
215,Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej,0032-3772,1897-9483,"MEDICINE, GENERAL & INTERNAL - SCIE",90,0.66,3.8,4.9,59
216,CANADIAN FAMILY PHYSICIAN,0008-350X,1715-5258,"MEDICINE, GENERAL & INTERNAL - SCIE",63,0.75,7.6,5.4,47
217,STEM CELLS AND DEVELOPMENT,1547-3287,1557-8534,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",139,0.96,7.1,7.2,133
218,Experimental Neurobiology,1226-2560,2093-8144,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",35,0.86,5.1,9.2,30
219,QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,1460-2725,1460-2393,"MEDICINE, GENERAL & INTERNAL - SCIE",59,0.78,12.7,6.6,46
220,Neurocritical Care,1541-6933,1556-0961,CRITICAL CARE MEDICINE - SCIE,298,0.90,6.4,8.2,267
221,Health Information Management Journal,1833-3583,1833-3575,MEDICAL INFORMATICS - SCIE,35,0.86,5.7,6.1,30
222,Expert Review of Medical Devices,1743-4440,1745-2422,"ENGINEERING, BIOMEDICAL - SCIE",130,0.39,6.1,5.5,51
223,LASERS IN MEDICAL SCIENCE,0268-8921,1435-604X,"ENGINEERING, BIOMEDICAL - SCIE",374,0.89,5.6,8.2,333
224,SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE,1069-3424,1098-9048,CRITICAL CARE MEDICINE - SCIE,77,0.00,6.1,8.2,0
225,CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,1084-9785,1557-8852,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",224,0.99,7.2,4.5,221
226,ARTIFICIAL ORGANS,0160-564X,1525-1594,"ENGINEERING, BIOMEDICAL - SCIE",221,0.92,8,6.7,204
227,EXPERIMENTAL HEMATOLOGY,0301-472X,1873-2399,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",91,0.80,12,7.8,73
228,Journal of Zhejiang University-SCIENCE B,1673-1581,1862-1783,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",70,0.59,7.5,5.9,41
229,Tissue Engineering Part C-Methods,1937-3384,1937-3392,"ENGINEERING, BIOMEDICAL - SCIE",53,0.98,6.8,7.1,52
230,Minerva Anestesiologica,0375-9393,1827-1596,CRITICAL CARE MEDICINE - SCIE,112,0.74,5.8,6.6,83
231,SOCIOLOGY OF HEALTH & ILLNESS,0141-9889,1467-9566,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",152,1.00,10.7,9,152
232,STATISTICAL METHODS IN MEDICAL RESEARCH,0962-2802,1477-0334,MEDICAL INFORMATICS - SCIE,257,0.98,7.3,11.4,253
233,Discovery Medicine,1539-6509,1944-7930,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",18,1.00,6.9,7.2,18
234,CULTURE HEALTH & SEXUALITY,1369-1058,1464-5351,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",229,0.99,6.2,7.5,226
235,Biomechanics and Modeling in Mechanobiology,1617-7959,1617-7940,"ENGINEERING, BIOMEDICAL - SCIE",206,0.98,5.6,10,202
236,Journal of Hospital Medicine,1553-5592,1553-5606,"MEDICINE, GENERAL & INTERNAL - SCIE",184,0.96,5.6,5.4,177
237,JMIR Medical Informatics,N/A,2291-9694,MEDICAL INFORMATICS - SCIE,264,0.95,3,5.6,251
238,Molecular Medicine Reports,1791-2997,1791-3004,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",833,0.96,3.9,6.3,798
239,International Journal of Computer Assisted Radiology and Surgery,1861-6410,1861-6429,"ENGINEERING, BIOMEDICAL - SCIE",224,0.99,3.9,5.6,221
240,PRIMARY CARE,0095-4543,1558-299X,"MEDICINE, GENERAL & INTERNAL - SCIE",48,0.50,6.6,6.9,24
241,JOURNAL OF MEDICAL ETHICS,0306-6800,1473-4257,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",110,0.98,8.3,6.3,108
242,Critical Public Health,0958-1596,1469-3682,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",111,0.96,5.8,7.3,106
243,JOURNAL OF INVESTIGATIVE MEDICINE,1081-5589,1708-8267,"MEDICINE, GENERAL & INTERNAL - SCIE; MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",106,0.82,6,7.3,87
244,KOREAN JOURNAL OF INTERNAL MEDICINE,1226-3303,2005-6648,"MEDICINE, GENERAL & INTERNAL - SCIE",140,0.81,4.5,7.8,114
245,ASAIO JOURNAL,1058-2916,1538-943X,"ENGINEERING, BIOMEDICAL - SCIE",195,0.94,5.4,6.6,183
246,OMEGA-JOURNAL OF DEATH AND DYING,0030-2228,1541-3764,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",197,0.97,10.1,10.1,192
247,Biomarkers in Medicine,1752-0363,1752-0371,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",133,0.77,4.5,5.6,103
248,BIOMEDICAL MICRODEVICES,1387-2176,1572-8781,"ENGINEERING, BIOMEDICAL - SCIE",79,1.00,8,6.8,79
249,PHYSIOLOGICAL MEASUREMENT,0967-3334,1361-6579,"ENGINEERING, BIOMEDICAL - SCIE",171,0.94,8.2,8.1,161
250,Sports Biomechanics,1476-3141,1752-6116,"ENGINEERING, BIOMEDICAL - SCIE",168,0.95,6.5,10.1,159
251,Biomedical Engineering Online,N/A,1475-925X,"ENGINEERING, BIOMEDICAL - SCIE",88,0.88,6.1,6.5,77
252,BMC Medical Informatics and Decision Making,N/A,1472-6947,MEDICAL INFORMATICS - SCIE,338,0.96,5.7,6.7,325
253,YONSEI MEDICAL JOURNAL,0513-5796,1976-2437,"MEDICINE, GENERAL & INTERNAL - SCIE",135,0.91,6.6,7.7,123
254,International Journal for Numerical Methods in Biomedical Engineering,2040-7939,2040-7947,"ENGINEERING, BIOMEDICAL - SCIE",126,1.00,4.5,9.7,126
255,BURNS,0305-4179,1879-1409,CRITICAL CARE MEDICINE - SCIE,216,0.88,8.7,8.9,191
256,KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,1607-551X,2410-8650,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",144,0.91,6.2,5.4,131
257,Journal of the Chinese Medical Association,1726-4901,1728-7731,"MEDICINE, GENERAL & INTERNAL - SCIE",166,0.75,4.2,6,124
258,Australian Critical Care,1036-7314,1878-1721,CRITICAL CARE MEDICINE - SCIE,77,0.83,4.2,7.5,64
259,JOURNAL OF BIOMECHANICS,0021-9290,1873-2380,"ENGINEERING, BIOMEDICAL - SCIE",502,0.98,12.1,9.9,494
260,Patient Preference and Adherence,1177-889X,N/A,"MEDICINE, GENERAL & INTERNAL - SCIE",232,0.91,4.4,6.9,210
261,Iranian Journal of Basic Medical Sciences,2008-3866,2008-3874,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",203,0.91,4.4,8.6,185
262,BMJ Open,2044-6055,2044-6055,"MEDICINE, GENERAL & INTERNAL - SCIE",3266,0.82,3.8,6.8,2686
263,EXPERIMENTAL BIOLOGY AND MEDICINE,1535-3702,1535-3699,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",178,0.65,7.4,7,115
264,HASTINGS CENTER REPORT,0093-0334,1552-146X,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",58,1.00,8.2,6.4,58
265,Health Informatics Journal,1460-4582,1741-2811,MEDICAL INFORMATICS - SCIE,210,0.90,4.1,7.8,189
266,JOURNAL OF WOMENS HEALTH,1540-9996,1931-843X,"MEDICINE, GENERAL & INTERNAL - SCIE",308,0.93,7.9,6.6,285
267,Innate Immunity,1753-4259,1753-4267,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",77,0.95,6.1,8,73
268,CLINICAL MEDICINE,1470-2118,1473-4893,"MEDICINE, GENERAL & INTERNAL - SCIE",174,0.91,4.8,4.2,158
269,Journal of the American Board of Family Medicine,1557-2625,1558-7118,"MEDICINE, GENERAL & INTERNAL - SCIE",110,0.92,7.9,6.4,101
270,BMC Medical Ethics,1472-6939,1472-6939,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",123,0.90,4.6,7.1,111
271,MEDICAL SCIENCE MONITOR,1643-3750,1643-3750,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",966,0.96,3.7,5.6,928
272,JOURNAL OF BIOMATERIALS APPLICATIONS,0885-3282,1530-8022,"ENGINEERING, BIOMEDICAL - SCIE",156,0.97,5.5,6.6,151
273,CHINESE MEDICAL JOURNAL,0366-6999,2542-5641,"MEDICINE, GENERAL & INTERNAL - SCIE",274,0.70,5.6,5.2,193
274,JOURNAL OF BONE AND MINERAL METABOLISM,0914-8779,1435-5604,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",139,0.88,8.1,8.7,122
275,Advances in Experimental Medicine and Biology,0065-2598,2214-8019,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",1021,0.99,5,9,1012
276,Journal of Applied Biomaterials & Functional Materials,N/A,2280-8000,"ENGINEERING, BIOMEDICAL - SCIE",43,1.00,4,7.1,43
277,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,0140-0118,1741-0444,"MEDICAL INFORMATICS - SCIE; ENGINEERING, BIOMEDICAL - SCIE",223,0.96,10.3,8.6,214
278,BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,0100-879X,1414-431X,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",137,0.96,10.7,7.5,131
279,Lymphatic Research and Biology,1539-6851,1557-8585,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",92,0.98,6.4,8.6,90
280,INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,0020-1383,1879-0267,CRITICAL CARE MEDICINE - SCIE,500,0.87,7.8,8.8,434
281,MEDICAL DECISION MAKING,0272-989X,1552-681X,MEDICAL INFORMATICS - SCIE,84,0.88,10.3,8.1,74
282,SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE,0281-3432,1502-7724,"MEDICINE, GENERAL & INTERNAL - SCIE",52,0.96,7.9,6.7,50
283,CURRENT MEDICAL RESEARCH AND OPINION,0300-7995,1473-4877,"MEDICINE, GENERAL & INTERNAL - SCIE; MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",263,0.83,8.3,6,217
284,International Journal of Evidence-Based Healthcare,N/A,1744-1609,"MEDICINE, GENERAL & INTERNAL - SCIE",23,0.74,5.6,7.5,17
285,Journal of Genetic Counseling,1059-7700,1573-3599,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",184,0.97,5.4,6.3,179
286,HEALTH CARE ANALYSIS,1065-3058,1573-3394,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",36,1.00,8.9,9.7,36
287,Systematic Reviews,N/A,2046-4053,"MEDICINE, GENERAL & INTERNAL - SCIE",286,0.12,4.7,6.9,34
288,INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,1368-5031,1742-1241,"MEDICINE, GENERAL & INTERNAL - SCIE",416,0.90,9.4,6.3,373
289,Organogenesis,1547-6278,1555-8592,"ENGINEERING, BIOMEDICAL - SCIE",11,0.82,9,9.5,9
290,BMC Family Practice,N/A,1471-2296,"MEDICINE, GENERAL & INTERNAL - SCIE",270,0.93,6.1,7.3,251
291,Cardiovascular Engineering and Technology,1869-408X,1869-4098,"ENGINEERING, BIOMEDICAL - SCIE",68,0.96,3.9,7.8,65
292,Medicina Intensiva,0210-5691,1578-6749,CRITICAL CARE MEDICINE - SCIE,68,0.94,4.5,7.1,64
293,Sexual Medicine,2050-1161,2050-1161,"MEDICINE, GENERAL & INTERNAL - SCIE",88,0.90,3.6,9.1,79
294,Clinical Trials,1740-7745,1740-7753,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",93,0.98,7,7.1,91
295,MEDICAL ANTHROPOLOGY QUARTERLY,0745-5194,1548-1387,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",42,1.00,12.5,8.4,42
296,ANNALS ACADEMY OF MEDICINE SINGAPORE,0304-4602,N/A,"MEDICINE, GENERAL & INTERNAL - SCIE",67,0.70,12.2,4.9,47
297,International Journal of General Medicine,N/A,1178-7074,"MEDICINE, GENERAL & INTERNAL - SCIE",188,0.82,6.6,6.4,154
298,JOURNAL OF MEDICAL ECONOMICS,1369-6998,1941-837X,"MEDICINE, GENERAL & INTERNAL - SCIE",179,0.97,4.5,5.6,173
299,Experimental and Therapeutic Medicine,1792-0981,1792-1015,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",1227,0.89,3.3,6.6,1090
300,HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,1045-6767,1936-4776,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",18,1.00,12.3,11.7,18
301,Informatics for Health & Social Care,1753-8157,1753-8165,MEDICAL INFORMATICS - SCIE,35,0.83,4.1,7.4,29
302,JOURNAL OF EVALUATION IN CLINICAL PRACTICE,1356-1294,1365-2753,"MEDICINE, GENERAL & INTERNAL - SCIE; MEDICAL INFORMATICS - SCIE",299,0.88,8.2,8,262
303,Medicina-Lithuania,1010-660X,1648-9144,"MEDICINE, GENERAL & INTERNAL - SCIE",708,0.78,1.8,7.1,550
304,Chronic Illness,1742-3953,1745-9206,"MEDICINE, GENERAL & INTERNAL - SCIE",51,0.86,8.1,8.4,44
305,POSTGRADUATE MEDICAL JOURNAL,0032-5473,1469-0756,"MEDICINE, GENERAL & INTERNAL - SCIE",101,0.68,14.4,6.8,69
306,Human Gene Therapy Methods,1946-6536,1946-6544,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",n/a,n/a%,5.3,n/a,n/a
307,UPSALA JOURNAL OF MEDICAL SCIENCES,0300-9734,2000-1967,"MEDICINE, GENERAL & INTERNAL - SCIE",42,0.55,6.7,7,23
308,AMERICAN JOURNAL OF THE MEDICAL SCIENCES,0002-9629,1538-2990,"MEDICINE, GENERAL & INTERNAL - SCIE",103,0.72,10.1,7.5,74
309,INDIAN JOURNAL OF MEDICAL RESEARCH,0971-5916,0971-5916,"MEDICINE, GENERAL & INTERNAL - SCIE; MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",87,0.83,8.3,6.2,72
310,STATISTICS IN MEDICINE,0277-6715,1097-0258,"MEDICAL INFORMATICS - SCIE; MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",377,0.99,14,10.9,375
311,Clinics,1807-5932,1980-5322,"MEDICINE, GENERAL & INTERNAL - SCIE",153,0.78,7.9,5.7,120
312,BioSocieties,1745-8552,1745-8560,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",43,1.00,6.6,9.4,43
313,Applied Clinical Informatics,1869-0327,1869-0327,MEDICAL INFORMATICS - SCIE,95,0.98,3.9,5.9,93
314,CLEVELAND CLINIC JOURNAL OF MEDICINE,0891-1150,1939-2869,"MEDICINE, GENERAL & INTERNAL - SCIE",57,0.37,9.1,5.6,21
315,Cellular and Molecular Bioengineering,1865-5025,1865-5033,"ENGINEERING, BIOMEDICAL - SCIE",61,0.95,5.5,7.5,58
316,AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,0954-0121,1360-0451,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",428,0.96,6.7,6.9,411
317,Social Theory & Health,1477-8211,1477-822X,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",41,0.98,7.4,11,40
318,Trials,N/A,1745-6215,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",879,0.98,4.6,7.9,861
319,HEALTH,1363-4593,1461-7196,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",75,0.99,8.2,10.5,74
320,FAMILY PRACTICE,0263-2136,1460-2229,"MEDICINE, GENERAL & INTERNAL - SCIE",117,0.91,10.7,7.4,107
321,JOURNAL OF HEALTH POLITICS POLICY AND LAW,0361-6878,N/A,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",54,1.00,7.9,5.1,54
322,Respiratory Care,0020-1324,1943-3654,CRITICAL CARE MEDICINE - SCIE,208,0.86,7.2,8.2,179
323,DEATH STUDIES,0748-1187,1091-7683,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",237,0.97,10.1,9.4,230
324,MEDICAL ENGINEERING & PHYSICS,1350-4533,1873-4030,"ENGINEERING, BIOMEDICAL - SCIE",165,0.98,9,8.4,161
325,ARCHIVES OF MEDICAL RESEARCH,0188-4409,1873-5487,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",88,0.72,8.2,6.4,63
326,AMERICAN JOURNAL OF MANAGED CARE,1088-0224,N/A,"MEDICINE, GENERAL & INTERNAL - SCIE",130,0.98,7.7,6.3,127
327,AMERICAN JOURNAL OF CRITICAL CARE,1062-3264,1937-710X,CRITICAL CARE MEDICINE - SCIE,66,0.89,8.9,6.8,59
328,HONG KONG MEDICAL JOURNAL,1024-2708,1024-2708,"MEDICINE, GENERAL & INTERNAL - SCIE",53,0.81,8.4,7.4,43
329,Contemporary Clinical Trials,1551-7144,1559-2030,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",200,0.98,5.7,9.4,195
330,CURRENT MOLECULAR MEDICINE,1566-5240,1875-5666,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",79,0.67,8.3,7.8,53
331,Open Medicine,2391-5463,2391-5463,"MEDICINE, GENERAL & INTERNAL - SCIE",145,0.91,2.7,6.1,132
332,SWISS MEDICAL WEEKLY,1424-7860,1424-3997,"MEDICINE, GENERAL & INTERNAL - SCIE",180,0.78,6.4,6.8,140
333,Medical Anthropology,0145-9740,1545-5882,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",79,1.00,7.1,9.2,79
334,NEW GENETICS AND SOCIETY,1463-6778,1469-9915,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",37,1.00,6.8,7.5,37
335,INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,0266-4623,1471-6348,MEDICAL INFORMATICS - SCIE,70,0.84,10.1,6,59
336,METHODS OF INFORMATION IN MEDICINE,0026-1270,2511-705X,MEDICAL INFORMATICS - SCIE,24,0.92,10.4,7.5,22
337,EUROPEAN JOURNAL OF MEDICAL RESEARCH,0949-2321,2047-783X,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",67,0.88,9.3,6.5,59
338,CULTURE MEDICINE AND PSYCHIATRY,0165-005X,1573-076X,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",47,0.98,10.7,10.4,46
339,Critical Care and Resuscitation,1441-2772,N/A,CRITICAL CARE MEDICINE - SCIE,43,0.93,5.6,6.1,40
340,IN VIVO,0258-851X,1791-7549,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",486,0.90,6.1,7.3,439
341,JOURNAL OF KOREAN MEDICAL SCIENCE,1011-8934,1598-6357,"MEDICINE, GENERAL & INTERNAL - SCIE",355,0.94,5.6,7.1,334
342,BMJ Sexual & Reproductive Health,2515-1991,2515-2009,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",34,0.79,1.9,6.7,27
343,International Journal of Osteopathic Medicine,1746-0689,1878-0164,"MEDICINE, GENERAL & INTERNAL - SCIE",27,0.81,4.9,6.3,22
344,Current Medical Science,2096-5230,2523-899X,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",151,0.98,1.7,6.9,148
345,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,0148-0731,1528-8951,"ENGINEERING, BIOMEDICAL - SCIE",183,0.98,12.3,10.4,180
346,CLINICAL BIOMECHANICS,0268-0033,1879-1271,"ENGINEERING, BIOMEDICAL - SCIE",271,0.96,11.7,9.6,259
347,INTERNAL MEDICINE JOURNAL,1444-0903,1445-5994,"MEDICINE, GENERAL & INTERNAL - SCIE",224,0.88,6.3,6.4,198
348,Balkan Medical Journal,2146-3123,2146-3131,"MEDICINE, GENERAL & INTERNAL - SCIE",45,0.82,3.9,7.9,37
349,JOURNAL OF BIOSOCIAL SCIENCE,0021-9320,1469-7599,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",65,0.98,10.8,10.6,64
350,CIN-COMPUTERS INFORMATICS NURSING,1538-2931,1538-9774,MEDICAL INFORMATICS - SCIE,65,0.95,5.7,6.3,62
351,PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,0147-8389,1540-8159,"ENGINEERING, BIOMEDICAL - SCIE",230,0.90,10.4,6.9,206
352,International Journal of Qualitative Studies on Health and Well-Being,1748-2623,1748-2631,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",91,0.97,6.1,8.4,88
353,MEDICAL PRINCIPLES AND PRACTICE,1011-7571,1423-0151,"MEDICINE, GENERAL & INTERNAL - SCIE",79,0.90,6.6,9,71
354,European Journal of General Practice,1381-4788,1751-1402,"MEDICINE, GENERAL & INTERNAL - SCIE",27,0.96,5.3,6,26
355,BIOETHICS,0269-9702,1467-8519,"SOCIAL SCIENCES, BIOMEDICAL - SSCI",141,0.98,6.7,7.7,138
356,Metabolic Syndrome and Related Disorders,1540-4196,1557-8518,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",93,0.98,6.7,8.6,91
357,MEDICINE,0025-7974,1536-5964,"MEDICINE, GENERAL & INTERNAL - SCIE",5078,0.68,3.8,7,3453
358,BIORHEOLOGY,0006-355X,1878-5034,"ENGINEERING, BIOMEDICAL - SCIE",8,1.00,17.8,11.7,8
359,SINGAPORE MEDICAL JOURNAL,0037-5675,N/A,"MEDICINE, GENERAL & INTERNAL - SCIE",81,0.86,9.8,9.3,70
360,IRBM,1959-0318,1876-0988,"ENGINEERING, BIOMEDICAL - SCIE",37,0.95,4.6,7.8,35
361,Journal of Research in Medical Sciences,1735-1995,1735-7136,"MEDICINE, GENERAL & INTERNAL - SCIE",97,0.84,6.5,7.9,81
362,TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,0040-8727,1349-3329,"MEDICINE, GENERAL & INTERNAL - SCIE; MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",105,0.90,9.7,7.5,94
363,Journal of Burn Care & Research,1559-047X,1559-0488,CRITICAL CARE MEDICINE - SCIE,150,0.91,7.6,9.9,137
364,JOURNAL OF APPLIED BIOMECHANICS,1065-8483,1543-2688,"ENGINEERING, BIOMEDICAL - SCIE",54,1.00,9.5,11,54
365,JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION,0027-9684,1943-4693,"MEDICINE, GENERAL & INTERNAL - SCIE",80,0.90,14,7.2,72
366,Journal of Applied Biomedicine,1214-021X,1214-0287,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",18,0.94,6.4,8.3,17
367,Applied Bionics and Biomechanics,1176-2322,1754-2103,"ENGINEERING, BIOMEDICAL - SCIE",56,0.88,4.2,7.1,49
