ID,Name,ISSN
1,"	N Engl J Med","	0028-4793"
632,"	J Adolesc Health","	1054-139x"
633,"	Health Care Manage Rev","	0361-6274"
634,"	Br J Gen Pract","	0960-1643"
635,"	J Clin Epidemiol","	0895-4356"
636,"	S Afr Med J","	0256-9574"
637,"	JAMA Dermatol","	2168-6068"
638,"	Br J Clin Pharmacol","	0306-5251"
639,"	Psychoneuroendocrinology","	0306-4530"
640,"	BMC Health Serv Res","	1472-6963"
641,"	Appl Nurs Res","	0897-1897"
642,"	Epilepsia","	0013-9580"
643,"	PLoS One","	1932-6203"
644,"	J Biomed Inform","	1532-0464"
645,"	J Clin Anesth","	0952-8180"
646,"	Diabet Med","	0742-3071"
647,"	BMJ Open","	2044-6055"
648,"	Int J Med Inform","	1386-5056"
649,"	Stud Health Technol Inform","	0926-9630"
650,"	J Clin Psychiatry","	0160-6689"
651,"	Pharmacoepidemiol Drug Saf","	1053-8569"
652,"	Am J Manag Care","	1088-0224"
653,"	Int J Qual Health Care","	1353-4505"
654,"	BMC Health Serv Res","	1472-6963"
655,"	Stud Health Technol Inform","	0926-9630"
656,"	Diabetes Res Clin Pract","	0168-8227"
657,"	Aten Primaria","	0212-6567"
658,"	J Am Med Inform Assoc","	1067-5027"
659,"	Br J Cancer","	0007-0920"
660,"	J Patient Saf","	1549-8417"
661,"	Int J Med Inform","	1386-5056"
662,"	JAMA Intern Med","	2168-6106"
663,"	J Clin Epidemiol","	0895-4356"
664,"	J Oncol Pharm Pract","	1078-1552"
665,"	JAMA Netw Open","	2574-3805"
666,"	Inform Health Soc Care","	1753-8157"
667,"	BMJ Open","	2044-6055"
668,"	Health Serv Res","	0017-9124"
669,"	J Clin Hypertens (Greenwich)","	1524-6175"
670,"	Circ Cardiovasc Qual Outcomes","	1941-7713"
671,"	Caries Res","	0008-6568"
672,"	BMC Geriatr","	1471-2318"
673,"	Appl Clin Inform","	1869-0327"
674,"	Stud Health Technol Inform","	0926-9630"
675,"	Jama","	0098-7484"
676,"	Age Ageing","	0002-0729"
677,"	J Clin Psychol Med Settings","	1068-9583"
678,"	Curr Med Res Opin","	0300-7995"
679,"	Eur J Clin Pharmacol","	0031-6970"
680,"	Am J Transplant","	1600-6135"
681,"	J Clin Lipidol","	1933-2874"
682,"	Int J Med Inform","	1386-5056"
683,"	J Pediatr","	0022-3476"
684,"	J Affect Disord","	0165-0327"
685,"	Appl Clin Inform","	1869-0327"
686,"	Adv Skin Wound Care","	1527-7941"
687,"	PLoS One","	1932-6203"
688,"	Public Health","	0033-3506"
689,"	Am J Manag Care","	1088-0224"
690,"	Int J Epidemiol","	0300-5771"
691,"	Injury","	0020-1383"
692,"	Pharmacoepidemiol Drug Saf","	1053-8569"
693,"	BMC Pediatr","	1471-2431"
694,"	Clin Biochem","	0009-9120"
695,"	PLoS One","	1932-6203"
696,"	Am J Hypertens","	0895-7061"
697,"	J Biomed Inform","	1532-0464"
698,"	Pharmacoepidemiol Drug Saf","	1053-8569"
699,"	Arch Dis Child","	0003-9888"
700,"	J Altern Complement Med","	1075-5535"
701,"	Abdom Radiol (NY)","	"
702,"	Rev Epidemiol Sante Publique","	0398-7620"
703,"	Addiction","	0965-2140"
704,"	Drug Saf","	0114-5916"
705,"	BMJ Qual Saf","	2044-5415"
706,"	Am J Gastroenterol","	0002-9270"
707,"	Pharmacoepidemiol Drug Saf","	1053-8569"
708,"	Pediatr Crit Care Med","	1529-7535"
709,"	J Pediatr Surg","	0022-3468"
710,"	Otolaryngol Head Neck Surg","	0194-5998"
711,"	J Am Med Inform Assoc","	1067-5027"
712,"	Am Surg","	0003-1348"
713,"	Bmj","	0959-8138"
714,"	J Thromb Haemost","	1538-7836"
715,"	Popul Health Manag","	1942-7891"
716,"	J Am Med Inform Assoc","	1067-5027"
717,"	Pharmacoepidemiol Drug Saf","	1053-8569"
718,"	J Epidemiol Community Health","	0143-005x"
719,"	J Med Internet Res","	1439-4456"
720,"	Fam Pract","	0263-2136"
721,"	Stress Health","	1532-3005"
722,"	BMC Med Inform Decis Mak","	1472-6947"
723,"	Gastrointest Endosc","	0016-5107"
724,"	Inflamm Bowel Dis","	1078-0998"
725,"	J Am Med Inform Assoc","	1067-5027"
726,"	Tex Dent J","	0040-4284"
727,"	Pac Symp Biocomput","	2335-6928"
728,"	Methods Inf Med","	0026-1270"
729,"	BMC Fam Pract","	1471-2296"
730,"	BMC Cardiovasc Disord","	1471-2261"
731,"	J Opioid Manag","	1551-7489"
732,"	Arch Soc Esp Oftalmol","	0365-6691"
733,"	Health Technol Assess","	1366-5278"
734,"	Diabetes Res Clin Pract","	0168-8227"
735,"	J Am Med Inform Assoc","	1067-5027"
736,"	Public Health","	0033-3506"
737,"	Int Urogynecol J","	0937-3462"
738,"	J Am Med Inform Assoc","	1067-5027"
739,"	Appl Clin Inform","	1869-0327"
740,"	West J Emerg Med","	1936-900X"
741,"	N Engl J Med","	0028-4793"
742,"	Stud Health Technol Inform","	0926-9630"
743,"	Future Oncol","	1479-6694"
744,"	Int J Med Inform","	1386-5056"
745,"	Pediatrics","	0031-4005"
746,"	J Urban Health","	1099-3460"
747,"	Jt Comm J Qual Patient Saf","	1553-7250"
748,"	Clin Res Cardiol","	1861-0684"
749,"	Drug Saf","	0114-5916"
750,"	Acupunct Med","	0964-5284"
751,"	BMJ Qual Saf","	2044-5415"
752,"	J Med Econ","	1369-6998"
753,"	Jama","	0098-7484"
754,"	West J Emerg Med","	1936-900X"
755,"	Pediatr Cardiol","	0172-0643"
756,"	J Pediatr Urol","	1477-5131"
757,"	PLoS One","	1932-6203"
758,"	J Am Med Inform Assoc","	1067-5027"
759,"	Stroke","	0039-2499"
760,"	Appl Clin Inform","	1869-0327"
761,"	Am Surg","	0003-1348"
762,"	BMC Fam Pract","	1471-2296"
763,"	Age Ageing","	0002-0729"
764,"	Drug Saf","	0114-5916"
765,"	J Med Internet Res","	1439-4456"
766,"	J Subst Abuse Treat","	0740-5472"
767,"	Am J Perinatol","	0735-1631"
768,"	Acad Emerg Med","	1069-6563"
769,"	Fam Pract","	0263-2136"
770,"	J Am Med Inform Assoc","	1067-5027"
771,"	Int J Med Inform","	1386-5056"
772,"	PLoS One","	1932-6203"
773,"	Clin Pediatr (Phila)","	0009-9228"
774,"	Gesundheitswesen","	0941-3790"
775,"	PLoS One","	1932-6203"
776,"	PLoS One","	1932-6203"
777,"	Am J Manag Care","	1088-0224"
778,"	J Gerontol A Biol Sci Med Sci","	1079-5006"
779,"	J Comp Eff Res","	2042-6305"
780,"	J Gen Intern Med","	0884-8734"
781,"	Am J Intellect Dev Disabil","	1944-7515"
782,"	J Eval Clin Pract","	1356-1294"
783,"	J Surg Res","	0022-4804"
784,"	Am Heart J","	0002-8703"
785,"	BMJ Open","	2044-6055"
786,"	Health Technol Assess","	1366-5278"
787,"	Stud Health Technol Inform","	0926-9630"
788,"	AIDS Care","	0954-0121"
789,"	Cancer Med","	2045-7634"
790,"	PLoS Med","	1549-1277"
791,"	BMJ Open","	2044-6055"
792,"	Med Care","	0025-7079"
793,"	J Clin Hypertens (Greenwich)","	1524-6175"
794,"	Am J Manag Care","	1088-0224"
795,"	J Med Syst","	0148-5598"
796,"	J Biomed Inform","	1532-0464"
797,"	Can Fam Physician","	0008-350X"
798,"	Stat Med","	0277-6715"
799,"	PLoS One","	1932-6203"
800,"	Prev Med","	0091-7435"
801,"	Am J Transplant","	1600-6135"
802,"	PLoS One","	1932-6203"
803,"	Comput Inform Nurs","	1538-2931"
804,"	Eur Heart J Acute Cardiovasc Care","	2048-8726"
805,"	Pharmacoepidemiol Drug Saf","	1053-8569"
806,"	Comput Inform Nurs","	1538-2931"
807,"	Stat Med","	0277-6715"
808,"	Int Health","	1876-3413"
809,"	Inj Prev","	1353-8047"
810,"	J Am Heart Assoc","	2047-9980"
811,"	Br J Gen Pract","	0960-1643"
812,"	Eur J Obstet Gynecol Reprod Biol","	0301-2115"
813,"	AMIA Annu Symp Proc","	1559-4076"
814,"	BMJ Qual Saf","	2044-5415"
815,"	Addiction","	0965-2140"
816,"	Thromb Haemost","	0340-6245"
817,"	Pac Symp Biocomput","	2335-6928"
818,"	J Gen Intern Med","	0884-8734"
819,"	J Pain Palliat Care Pharmacother","	1536-0288"
820,"	Int J Nurs Stud","	0020-7489"
821,"	Surg Obes Relat Dis","	1550-7289"
822,"	Hosp Pract (1995)","	2154-8331"
823,"	Pediatrics","	0031-4005"
824,"	J Clin Nurs","	0962-1067"
825,"	Curr Med Res Opin","	0300-7995"
826,"	Clin J Am Soc Nephrol","	1555-9041"
827,"	Ann Pharmacother","	1060-0280"
828,"	Stud Health Technol Inform","	0926-9630"
829,"	J Gen Intern Med","	0884-8734"
830,"	Stud Health Technol Inform","	0926-9630"
831,"	Sci Rep","	2045-2322"
832,"	BMC Med Inform Decis Mak","	1472-6947"
833,"	Fam Pract","	0263-2136"
834,"	Recenti Prog Med","	0034-1193"
835,"	Congenit Heart Dis","	1747-079X"
836,"	West J Emerg Med","	1936-900X"
837,"	Autism Res","	1939-3792"
838,"	Am J Prev Med","	0749-3797"
839,"	Rev Epidemiol Sante Publique","	0398-7620"
840,"	Drug Saf","	0114-5916"
841,"	Br J Gen Pract","	0960-1643"
842,"	Int J Chron Obstruct Pulmon Dis","	1176-9106"
843,"	J Acad Nutr Diet","	2212-2672"
844,"	BMJ Open","	2044-6055"
845,"	BMJ Open","	2044-6055"
846,"	J Am Geriatr Soc","	0002-8614"
847,"	Inform Prim Care","	1476-0320"
848,"	J Gastrointest Cancer","	"
849,"	Comput Inform Nurs","	1538-2931"
850,"	Pharmacoepidemiol Drug Saf","	1053-8569"
851,"	PLoS One","	1932-6203"
852,"	JAMA Netw Open","	2574-3805"
853,"	Yearb Med Inform","	0943-4747"
854,"	Postgrad Med","	0032-5481"
855,"	J Gen Intern Med","	0884-8734"
856,"	J Hypertens","	0263-6352"
857,"	Infect Control Hosp Epidemiol","	0899-823x"
858,"	JAMA Ophthalmol","	2168-6165"
859,"	Am J Emerg Med","	0735-6757"
860,"	BMJ Open","	2044-6055"
861,"	BMC Infect Dis","	1471-2334"
862,"	Stud Health Technol Inform","	0926-9630"
863,"	Pediatr Crit Care Med","	1529-7535"
864,"	BMJ Open","	2044-6055"
865,"	BMC Public Health","	1471-2458"
866,"	J Acad Nutr Diet","	2212-2672"
867,"	J Diabetes Complications","	1056-8727"
868,"	BMC Health Serv Res","	1472-6963"
869,"	JAMA Intern Med","	2168-6106"
870,"	IEEE Comput Graph Appl","	0272-1716"
871,"	Med Mal Infect","	0399-077x"
872,"	J Biomed Inform","	1532-0464"
873,"	BMC Med Inform Decis Mak","	1472-6947"
874,"	PLoS One","	1932-6203"
875,"	J Endocrinol Invest","	0391-4097"
876,"	Indian J Pediatr","	0019-5456"
877,"	J Oncol Pract","	1554-7477"
878,"	Am J Hypertens","	0895-7061"
879,"	AMIA Annu Symp Proc","	1559-4076"
880,"	Medicine (Baltimore)","	0025-7974"
881,"	J Am Med Inform Assoc","	1067-5027"
882,"	J Med Internet Res","	1438-8871"
883,"	Med Sci Sports Exerc","	0195-9131"
884,"	PLoS Med","	1549-1277"
885,"	J Gastroenterol Hepatol","	0815-9319"
886,"	BMC Health Serv Res","	1472-6963"
887,"	Elife","	2050-084x"
888,"	BMJ Open","	2044-6055"
889,"	BMJ Open","	2044-6055"
890,"	Infect Control Hosp Epidemiol","	0899-823x"
891,"	Am J Manag Care","	1088-0224"
892,"	J Neurosurg","	0022-3085"
893,"	Popul Health Metr","	1478-7954"
894,"	Wound Manag Prev","	2640-5237"
895,"	BMC Med Inform Decis Mak","	1472-6947"
896,"	AMIA Annu Symp Proc","	1559-4076"
897,"	Health Inf Manag","	1833-3583"
898,"	Eur J Epidemiol","	0393-2990"
899,"	J Med Internet Res","	1439-4456"
900,"	AIDS Care","	0954-0121"
901,"	Nephron Clin Pract","	1660-2110"
902,"	BMC Health Serv Res","	1472-6963"
903,"	Diabetes Obes Metab","	1462-8902"
904,"	AMIA Annu Symp Proc","	1559-4076"
905,"	J Eval Clin Pract","	1356-1294"
906,"	J Clin Rheumatol","	1076-1608"
907,"	BMC Fam Pract","	1471-2296"
908,"	BMJ Open","	2044-6055"
909,"	Trials","	1745-6215"
910,"	Drug Saf","	0114-5916"
911,"	Am J Prev Med","	0749-3797"
912,"	BMJ Open","	2044-6055"
913,"	Int J Med Inform","	1386-5056"
914,"	Ann Epidemiol","	1047-2797"
915,"	Eur J Clin Pharmacol","	0031-6970"
916,"	J Clin Epidemiol","	0895-4356"
917,"	Lung Cancer","	0169-5002"
918,"	Medicina (Kaunas)","	1010-660X"
919,"	JAMA Netw Open","	2574-3805"
920,"	Epilepsia","	0013-9580"
921,"	BMC Med Inform Decis Mak","	1472-6947"
922,"	BMC Pulm Med","	1471-2466"
923,"	BMC Med Inform Decis Mak","	1472-6947"
924,"	Acta Psychiatr Scand","	0001-690x"
925,"	Rev Col Bras Cir","	0100-6991"
926,"	Infect Control Hosp Epidemiol","	0899-823x"
927,"	Anesth Analg","	0003-2999"
928,"	J Manag Care Spec Pharm","	"
929,"	Am J Manag Care","	1088-0224"
930,"	Pharmacoepidemiol Drug Saf","	1053-8569"
931,"	Ann Otol Rhinol Laryngol","	0003-4894"
932,"	J Surg Res","	0022-4804"
933,"	Soc Work Health Care","	0098-1389"
934,"	Int J Chron Obstruct Pulmon Dis","	1176-9106"
935,"	Perspect Health Inf Manag","	1559-4122"
936,"	Gastroenterology","	0016-5085"
937,"	J Med Syst","	0148-5598"
938,"	J Am Med Inform Assoc","	1067-5027"
939,"	Br J Radiol","	0007-1285"
940,"	BMC Med Inform Decis Mak","	1472-6947"
941,"	Infect Control Hosp Epidemiol","	0899-823X"
942,"	Health Info Libr J","	1471-1834"
943,"	Perfusion","	0267-6591"
944,"	J Clin Hypertens (Greenwich)","	1524-6175"
945,"	BMC Nephrol","	1471-2369"
946,"	Stud Health Technol Inform","	0926-9630"
947,"	Am J Epidemiol","	0002-9262"
948,"	Clin Ther","	0149-2918"
949,"	Acad Emerg Med","	1069-6563"
950,"	BMJ Open","	2044-6055"
951,"	Therapie","	0040-5957"
952,"	J Am Med Inform Assoc","	1067-5027"
953,"	Resuscitation","	0300-9572"
954,"	Stud Health Technol Inform","	0926-9630"
955,"	Bmj","	0959-8138"
956,"	Clin Trials","	1740-7745"
957,"	Sci Rep","	2045-2322"
958,"	Health Serv Res","	0017-9124"
959,"	Rheumatology (Oxford)","	1462-0324"
960,"	Curr Med Res Opin","	0300-7995"
961,"	Genet Epidemiol","	0741-0395"
962,"	J Allergy Clin Immunol Pract","	"
963,"	Resuscitation","	0300-9572"
964,"	Ophthalmology","	0161-6420"
965,"	Pediatrics","	0031-4005"
966,"	Rev Neurol","	0210-0010"
967,"	Methods Inf Med","	0026-1270"
968,"	Inform Health Soc Care","	1753-8157"
969,"	Crit Care Nurs Q","	0887-9303"
970,"	Pharmacotherapy","	0277-0008"
971,"	J Am Coll Radiol","	1546-1440"
972,"	Pharmacoepidemiol Drug Saf","	1053-8569"
973,"	Int J Clin Pharmacol Ther","	0946-1965"
974,"	J Biomed Inform","	1532-0464"
975,"	Am J Surg","	0002-9610"
976,"	Mayo Clin Proc","	0025-6196"
977,"	J Am Coll Surg","	1072-7515"
978,"	J Diabetes Complications","	1056-8727"
979,"	Crit Care Med","	0090-3493"
980,"	Ophthalmology","	0161-6420"
981,"	BMC Med Inform Decis Mak","	1472-6947"
982,"	Am J Prev Med","	0749-3797"
983,"	J Clin Epidemiol","	0895-4356"
984,"	Pharmacoepidemiol Drug Saf","	1053-8569"
985,"	BMJ Qual Saf","	2044-5415"
986,"	BMC Res Notes","	1756-0500"
987,"	Eur Respir J","	0903-1936"
988,"	J Am Med Inform Assoc","	1067-5027"
989,"	Int J Med Inform","	1386-5056"
990,"	BMC Health Serv Res","	1472-6963"
991,"	J Biomed Inform","	1532-0464"
992,"	Lancet","	0140-6736"
993,"	J Manag Care Spec Pharm","	"
994,"	J Pediatr Ophthalmol Strabismus","	0191-3913"
995,"	Int J Methods Psychiatr Res","	1049-8931"
996,"	Health Aff (Millwood)","	0278-2715"
997,"	J Manag Care Spec Pharm","	"
998,"	J Med Syst","	0148-5598"
999,"	J Clin Gastroenterol","	0192-0790"
1000,"	J Minim Invasive Gynecol","	1553-4650"
1001,"	BMC Geriatr","	1471-2318"
1002,"	BMJ Health Care Inform","	2632-1009"
1003,"	Emerg Med J","	1472-0205"
1004,"	AMIA Annu Symp Proc","	1559-4076"
1005,"	Br J Gen Pract","	0960-1643"
1006,"	Health Care Manage Rev","	0361-6274"
1007,"	Allergy Asthma Proc","	1088-5412"
1008,"	BMC Infect Dis","	1471-2334"
1009,"	Int J Health Care Qual Assur","	0952-6862"
1010,"	Am J Ophthalmol","	0002-9394"
1011,"	BMC Med Inform Decis Mak","	1472-6947"
1012,"	Crit Care","	1364-8535"
1013,"	AMIA Annu Symp Proc","	1559-4076"
1014,"	Rev Epidemiol Sante Publique","	0398-7620"
1015,"	J Crit Care","	0883-9441"
1016,"	Prehosp Disaster Med","	1049-023x"
1017,"	PLoS One","	1932-6203"
1018,"	BMC Fam Pract","	1471-2296"
1019,"	PLoS One","	1932-6203"
1020,"	Clin Lymphoma Myeloma Leuk","	2152-2669"
1021,"	BMC Fam Pract","	1471-2296"
1022,"	PLoS One","	1932-6203"
1023,"	J Gen Intern Med","	0884-8734"
1024,"	Trop Med Int Health","	1360-2276"
1025,"	Ophthalmology","	0161-6420"
1026,"	AMIA Annu Symp Proc","	1559-4076"
1027,"	BMJ Open","	2044-6055"
1028,"	J Behav Health Serv Res","	1094-3412"
1029,"	PLoS One","	1932-6203"
1030,"	Stroke","	0039-2499"
1031,"	Comput Inform Nurs","	1538-2931"
1032,"	Medicine (Baltimore)","	0025-7974"
1033,"	Int J Med Inform","	1386-5056"
1034,"	Pediatr Res","	0031-3998"
1035,"	Arch Intern Med","	0003-9926"
1036,"	Am J Clin Pathol","	0002-9173"
1037,"	Pharmacoepidemiol Drug Saf","	1053-8569"
1038,"	Clin Cardiol","	0160-9289"
1039,"	BMC Geriatr","	1471-2318"
1040,"	J Pharm Pract","	0897-1900"
1041,"	Stud Health Technol Inform","	0926-9630"
1042,"	Popul Health Manag","	1942-7891"
1043,"	J Crit Care","	0883-9441"
1044,"	Infect Control Hosp Epidemiol","	0899-823x"
1045,"	Int J Clin Pract","	1368-5031"
1046,"	Scand J Infect Dis","	0036-5548"
1047,"	P R Health Sci J","	0738-0658"
1048,"	Depress Anxiety","	1091-4269"
1049,"	Rhinology","	0300-0729"
1050,"	BMC Med Inform Decis Mak","	1472-6947"
1051,"	BMC Musculoskelet Disord","	1471-2474"
1052,"	Med Care","	0025-7079"
1053,"	Rheumatology (Oxford)","	1462-0324"
1054,"	BMC Med Inform Decis Mak","	1472-6947"
1055,"	PLoS One","	1932-6203"
1056,"	Int J Med Inform","	1386-5056"
1057,"	Int J Med Inform","	1386-5056"
1058,"	Transl Psychiatry","	2158-3188"
1059,"	BMC Public Health","	1471-2458"
1060,"	Ann Epidemiol","	1047-2797"
1061,"	Drug Saf","	0114-5916"
1062,"	Br J Gen Pract","	0960-1643"
1063,"	Med Care","	0025-7079"
1064,"	Dig Dis Sci","	0163-2116"
1065,"	Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz","	1436-9990"
1066,"	BMJ Qual Saf","	2044-5415"
1067,"	Rev Epidemiol Sante Publique","	0398-7620"
1068,"	BMC Health Serv Res","	1472-6963"
1069,"	Int J Qual Health Care","	1353-4505"
1070,"	BMJ Open","	2044-6055"
1071,"	West J Nurs Res","	0193-9459"
1072,"	Ann Emerg Med","	0196-0644"
1073,"	J Innov Health Inform","	2058-4555"
1074,"	J Nurs Res","	1682-3141"
1075,"	Cardiovasc Diabetol","	1475-2840"
1076,"	Am J Prev Med","	0749-3797"
1077,"	J Pediatr Surg","	0022-3468"
1078,"	Eur J Emerg Med","	0969-9546"
1079,"	Curr Med Res Opin","	0300-7995"
1080,"	PLoS One","	1932-6203"
1081,"	Eur J Clin Pharmacol","	0031-6970"
1082,"	Ophthalmologe","	0941-293x"
1083,"	Chest","	0012-3692"
1084,"	Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz","	1436-9990"
1085,"	West J Nurs Res","	0193-9459"
1086,"	Respir Res","	1465-9921"
1087,"	Pharmacoepidemiol Drug Saf","	1053-8569"
1088,"	S Afr Med J","	0256-9574"
1089,"	BMJ Open","	2044-6055"
1090,"	BMC Fam Pract","	1471-2296"
1091,"	Wound Manag Prev","	2640-5237"
1092,"	Drug Saf","	0114-5916"
1093,"	Perspect Health Inf Manag","	1559-4122"
1094,"	BMC Med Inform Decis Mak","	1472-6947"
1095,"	Ann Emerg Med","	0196-0644"
1096,"	Circ Cardiovasc Qual Outcomes","	1941-7713"
1097,"	PLoS One","	1932-6203"
1098,"	Zhonghua Er Ke Za Zhi","	0578-1310"
1099,"	J Innov Health Inform","	2058-4555"
1100,"	Pediatrics","	0031-4005"
1101,"	Mayo Clin Proc","	0025-6196"
1102,"	J Oncol Pharm Pract","	1078-1552"
1103,"	J Am Med Inform Assoc","	1067-5027"
1104,"	Wound Repair Regen","	1067-1927"
1105,"	Acad Emerg Med","	1069-6563"
1106,"	Drug Saf","	0114-5916"
1107,"	Z Psychosom Med Psychother","	1438-3608"
1108,"	BMJ Open","	2044-6055"
1109,"	J Manag Care Pharm","	1083-4087"
1110,"	Eur J Emerg Med","	0969-9546"
1111,"	Rev Esp Anestesiol Reanim","	0034-9356"
1112,"	BMC Med Inform Decis Mak","	1472-6947"
1113,"	J Cardiovasc Electrophysiol","	1045-3873"
1114,"	Radiother Oncol","	0167-8140"
1115,"	BMJ Health Care Inform","	2632-1009"
1116,"	PLoS One","	1932-6203"
1117,"	Am J Hum Genet","	0002-9297"
1118,"	BMC Geriatr","	1471-2318"
1119,"	BMJ Open","	2044-6055"
1120,"	Ann Emerg Med","	0196-0644"
1121,"	BMC Womens Health","	1472-6874"
1122,"	Comput Inform Nurs","	1538-2931"
1123,"	Nephrol Dial Transplant","	0931-0509"
1124,"	Inquiry","	0046-9580"
1125,"	Stud Health Technol Inform","	0926-9630"
1126,"	Epilepsia","	0013-9580"
1127,"	BMC Complement Altern Med","	1472-6882"
1128,"	J Pediatr Adolesc Gynecol","	1083-3188"
1129,"	J Allergy Clin Immunol Pract","	"
1130,"	Arch Surg","	0004-0010"
1131,"	Medicine (Baltimore)","	0025-7974"
1132,"	Drug Saf","	0114-5916"
1133,"	Med Care","	0025-7079"
1134,"	J Am Pharm Assoc (2003)","	1086-5802"
1135,"	Am J Mens Health","	1557-9883"
1136,"	AIDS Patient Care STDS","	1087-2914"
1137,"	J Emerg Med","	0736-4679"
1138,"	Int J Med Inform","	1386-5056"
1139,"	J Am Coll Radiol","	1546-1440"
1140,"	BMC Musculoskelet Disord","	1471-2474"
1141,"	Am J Perinatol","	0735-1631"
1142,"	J Invest Dermatol","	0022-202X"
1143,"	Prev Chronic Dis","	1545-1151"
1144,"	Arq Bras Cardiol","	0066-782x"
1145,"	Am J Health Syst Pharm","	1079-2082"
1146,"	Pharmacoepidemiol Drug Saf","	1053-8569"
1147,"	Forsch Komplementmed","	1661-4119"
1148,"	Trop Med Int Health","	1360-2276"
1149,"	Rev Esc Enferm USP","	0080-6234"
1150,"	Transfusion","	0041-1132"
1151,"	Eur J Clin Pharmacol","	0031-6970"
1152,"	Neurocrit Care","	1541-6933"
1153,"	Am J Manag Care","	1088-0224"
1154,"	Pharmacoepidemiol Drug Saf","	1053-8569"
1155,"	Eur J Surg Oncol","	0748-7983"
1156,"	BMC Health Serv Res","	1472-6963"
1157,"	BMJ Qual Saf","	2044-5415"
1158,"	J Intensive Care Med","	0885-0666"
1159,"	J Med Internet Res","	1438-8871"
1160,"	Pac Symp Biocomput","	2335-6936"
1161,"	Inflamm Bowel Dis","	1078-0998"
1162,"	Support Care Cancer","	0941-4355"
1163,"	J Pediatr","	0022-3476"
1164,"	Curr Med Res Opin","	0300-7995"
1165,"	Patient Educ Couns","	0738-3991"
1166,"	J Am Med Inform Assoc","	1067-5027"
1167,"	J Biomed Inform","	1532-0464"
1168,"	J Pediatr","	0022-3476"
1169,"	Infect Control Hosp Epidemiol","	0899-823X"
1170,"	Diabetes Obes Metab","	1462-8902"
1171,"	J R Soc Med","	0141-0768"
1172,"	Eur J Emerg Med","	0969-9546"
1173,"	J Clin Epidemiol","	0895-4356"
1174,"	PLoS One","	1932-6203"
1175,"	BMC Health Serv Res","	1472-6963"
1176,"	Diabetes Care","	0149-5992"
1177,"	Appl Clin Inform","	1869-0327"
1178,"	J Natl Compr Canc Netw","	1540-1405"
1179,"	J Am Pharm Assoc (2003)","	1086-5802"
1180,"	J Am Coll Radiol","	1546-1440"
1181,"	J Med Syst","	0148-5598"
1182,"	Acad Radiol","	1076-6332"
