1	The "All of Us" Research Program	Accession 	Number	New England Journal of Medicine
232	Using an electronic medical record (EMR) to conduct clinical trials: Salford Lung Study feasibility	Accession 	Number	BMC Medical Informatics and Decision Making
233	Electronic Medical Record Documentation of Driving Safety for Veterans with Diagnosed Dementia	Accession 	Number	Clinical Gerontologist
234	Changing trends in postoperative cataract care: impact of electronic patient records in optometrist-delivered shared care	Accession 	Number	Irish Journal of Medical Science
235	Agreement and validity of electronic health record prescribing data relative to pharmacy claims data: A validation study from a US electronic health record database	Accession 	Number	Pharmacoepidemiology and Drug Safety
236	The combined effect of the electronic health record and hospitalist care on length of stay	Accession 	Number	American Journal of Managed Care
237	Maternity patients' access to their electronic medical records: use and perspectives of a patient portal	Accession 	Number	Health Information Management
238	Use of electronic medical record-enhanced checklist and electronic dashboard to decrease CLABSIs	Accession 	Number	Pediatrics
239	Patient crossover and potentially avoidable repeat computed tomography exams across a health information exchange	Accession 	Number	Journal of the American Medical Informatics Association
240	Prediction of Recurrent Clostridium Difficile Infection Using Comprehensive Electronic Medical Records in an Integrated Healthcare Delivery System	Accession 	Number	Infection Control and Hospital Epidemiology
241	Using electronic health records for surgical quality improvement in the era of big data	Accession 	Number	JAMA Surg
242	Method of electronic health record documentation and quality of primary care	Accession 	Number	Journal of the American Medical Informatics Association
243	Patient Use of Electronic Prescription Refill and Secure Messaging and Its Association With Undetectable HIV Viral Load: A Retrospective Cohort Study	Accession 	Number	Journal of Medical Internet Research
244	Utilizing IHE-based Electronic Health Record systems for secondary use	Accession 	Number	Methods of Information in Medicine
245	Adherence to Hydroxychloroquine Dosing Guidelines by Rheumatologists: An Electronic Medical Record-Based Study in an Integrated Health Care System	Accession 	Number	Ophthalmology
246	Evaluating performance of electronic healthcare records and spontaneous reporting data in drug safety signal detection	Accession 	Number	International Journal of Clinical Pharmacy
247	Surgery without a surrogate: the low prevalence of healthcare power of attorney documents among preoperative patients	Accession 	Number	Hosp Pract (1995)
248	Effect of an electronic medical record information system on emergency department performance	Accession 	Number	Medical Journal of Australia
249	Patient and System Factors Related to Missed Opportunities for Screening in an Electronic Medical Record-driven, Opt-out HIV Screening Program in the Emergency Department	Accession 	Number	Academic Emergency Medicine
250	Integrated personal health record use: association with parent-reported care experiences	Accession 	Number	Pediatrics
251	An assessment of data quality in a multi-site electronic medical record system in Haiti	Accession 	Number	International Journal of Medical Informatics
252	Identification of Dyslipidemic Patients Attending Primary Care Clinics Using Electronic Medical Record (EMR) Data from the Canadian Primary Care Sentinel Surveillance Network (CPCSSN) Database	Accession 	Number	Journal of Medical Systems
253	Cross-sectoral cancer care: views from patients and health care professionals regarding a personal electronic health record	Accession 	Number	European Journal of Cancer Care (English Language Edition)
254	Lessons on Data Collection and Curation From the NFL Injury Surveillance Program	Accession 	Number	Sports Health
255	Identifying patterns of non-communicable diseases in developed eastern coastal China: a longitudinal study of electronic health records from 12 public hospitals	Accession 	Number	BMJ Open
256	Impact of a Care Directives Activity Tab in the Electronic Health Record on Documentation of Advance Care Planning	Accession 	Number	Perm J
257	Development and Validation of Electronic Health Record-based Triggers to Detect Delays in Follow-up of Abnormal Lung Imaging Findings	Accession 	Number	Radiology
258	Personal health record reach in the Veterans Health Administration: a cross-sectional analysis	Accession 	Number	Journal of Medical Internet Research
259	Follow-Up Survey on Functionality of Nutrition Documentation and Ordering Nutrition Therapy in Currently Available Electronic Health Record Systems	Accession 	Number	Nutrition in Clinical Practice
260	Personal health record use for children and health care utilization: propensity score-matched cohort analysis	Accession 	Number	Journal of the American Medical Informatics Association
261	A framework for analyzing data from the electronic health record: verbal orders as a case in point	Accession 	Number	Joint Commission Journal on Quality and Patient Safety
262	Teaching residents screening, brief intervention, and referral to treatment (SBIRT) skills for alcohol use: Using chart-stimulated recall to assess curricular impact	Accession 	Number	Substance Abuse
263	Predicting 30-day readmissions with preadmission electronic health record data	Accession 	Number	Medical Care
264	Engaging primary care patients to use a patient-centered personal health record	Accession 	Number	Annals of Family Medicine
265	Secure access to patient's health records using SpeechXRays a mutli-channel biometrics platform for user authentication	Accession 	Number	Annu Int Conf IEEE Eng Med Biol Soc
266	Trends in Inpatient Admission Comorbidity and Electronic Health Data: Implications for Resident Workload Intensity	Accession 	Number	Journal of Hospital Medicine
267	Impact of an Electronic Health Record (EHR) Reminder on Human Papillomavirus (HPV) Vaccine Initiation and Timely Completion	Accession 	Number	Journal of the American Board of Family Medicine
268	Personal health record use and association with immunizations and well-child care visits recommendations	Accession 	Number	Journal of Pediatrics
